 ,Limit,vSphere 6.5,vSphere 6.7,vSphere 7.0
,,,,
Virtual Machine Maximums,IDE controllers per virtual machine,1,1,1
,Virtual disk size,62 TB,62 TB,62 TB
,IDE CDROM devices per virtual machine,4,4,4
,IDE devices per virtual machine,4,4,4
,Floppy devices per virtual machine,2,2,2
,Floppy controllers per virtual machine,1,1,1
,Virtual SATA devices per virtual SATA adapter,30,30,30
,Virtual SATA adapters per virtual machine,4,4,4
,Virtual NICs per virtual machine,1,NA,NA
,Virtual NICs per virtual machine,10,10,10
,Maximum number of virtual machine storage policies,NA,NA,1024
,NVDIMM controllers per VM,NA,1,1
,USB host controllers per virtual machine,1,1,1
,Parallel ports per virtual machine,3,3,3
,USB devices connected to a virtual machine,20,20,20
,Concurrent remote console connections to a virtual machine,40,40,40
,Serial ports per virtual machine,32,32,32
,Video memory per virtual machine,2 GB,2 GB,4 GB
,Number of PCI passthrough devices per VM,NA,NA,16
,Virtual CPUs per virtual machine (Virtual SMP),128,256,768
,RAM per virtual machine,6128 GB,6128 GB,24 TB
,Virtual machine swap file size,6128,6128 GB,24 TB
,Virtual SCSI adapters per virtual machine,4,4,4
,Max 10 Min 5,NA,NA,10
,Virtual SCSI targets per virtual SCSI adapter,15,15,15
,Virtual SCSI targets per virtual machine,60,60,60
,Non-volatile memory per virtual machine,NA,6 TB,12 TB
,Virtual NVMe adapters per virtual machine,4,4,4
,Virtual RDMA Adapters per Virtual Machine,NA,1,1
,Number of NVDIMMs per virtual machine,NA,64,64
,Virtual NVMe targets per virtual SCSI adapter,15,NA,NA
,Virtual NVMe targets per virtual machine,60,60,60
,Virtual SCSI Targets Per Virtual SCSI Adapter (PVSCSI only),NA,64,64
,Virtual SCSI Targets Per Virtual Machine (PVSCSI only),NA,256,256
,Virtual NVMe targets per virtual NVMe adapter,NA,15,15
,,,,
,,,,
ESXi Host Maximums:Compute Maximums,Virtual CPUs per virtual machine,4,8,8
,Disk size,2 TB,2 TB,2 TB
,Virtual machines per host,4,4,4
,RAM per FT VM,64 GB,128 GB,128 GB
,Logical CPUs per host,576,768,896
,Virtual CPU per host,8,8,8
,Virtual machines per host,1024,1024,1024
,NUMA Nodes per host,NA,16,16
,Virtual CPUs per host,4096,4096,4096
,Virtual disks,16,16,16
,Virtual CPUs per core,32,32,32
,,,,
,,,,
,,,,
ESXi Host Maximums:Memory Maximums,Maximum Non-volatile memory per host,NA,12TB,12TB
,Maximum RAM per host,12 TB,16 TB,24 TB
,Number of swap files,1 per virtual machine,1 per virtual machine,1 per virtual machine
,,,,
,,,,
ESXi Host Maximums:Storage Maximums ,Number of HBAs of any type,8,8,8
,Number of total paths on a server,2048,4096,4096
,Targets per HBA,256,256,256
